replication,fit_success,neg_log_likelihood,BIC,true_alpha,fitted_alpha,error_alpha,true_sigma,fitted_sigma,error_sigma,true_noise,fitted_noise,error_noise
0,False,45.282012945052145,100.5852964782968,0.2,0.2,0.0,0.5,0.7,0.19999999999999996,0.05,0.05,0.0
1,False,49.87676139560305,109.7747933793986,0.2,0.1999999730943571,2.6905642908081617e-08,0.5,0.6999999150348118,0.19999991503481185,0.05,0.05,0.0
2,True,44.59078613340267,99.20284285499785,0.2,0.19999398486433456,6.0151356654492005e-06,0.5,0.6999810048347407,0.19998100483474068,0.05,0.05,0.0
3,True,46.183214118357206,102.38769882490692,0.2,0.20000059288794061,5.928879406036369e-07,0.5,0.6999994280989561,0.1999994280989561,0.05,0.05,0.0
4,True,43.79118014044143,97.60363086907537,0.2,0.2000000501556013,5.01556012832971e-08,0.5,0.6999999470210161,0.1999999470210161,0.05,0.05,0.0
0,True,21.462266716863606,52.94580402191973,0.2,0.3000014692206875,0.10000146922068748,2.0,1.5000082926576845,0.49999170734231546,0.05,0.05,0.0
1,True,26.62233990103353,63.265950390259576,0.2,0.29999993655938845,0.09999993655938844,2.0,1.5000003893421803,0.4999996106578197,0.05,0.05,0.0
2,True,20.754260069068902,51.52979072633032,0.2,0.30000009954364876,0.10000009954364875,2.0,1.49999979695421,0.50000020304579,0.05,0.05,0.0
3,False,22.52309295630674,55.06745650080599,0.2,0.29999544889084634,0.09999544889084633,2.0,1.4999780291282236,0.5000219708717764,0.05,0.05,0.0
4,True,25.13169803172853,60.28466665164957,0.2,0.30000184264178836,0.10000184264178835,2.0,1.4999961400959694,0.5000038599040306,0.05,0.05,0.0
0,True,32.15092421626807,74.32311902072865,0.2,0.30000003311505374,0.10000003311505373,4.5,1.5000059107229549,2.9999940892770454,0.05,0.05,0.0
1,True,35.98757011045478,81.99641080910207,0.2,0.3000002758149447,0.1000002758149447,4.5,1.4999994403753711,3.000000559624629,0.05,0.05,0.0
2,True,33.9786351807185,77.9785409496295,0.2,0.3000023294954577,0.10000232949545768,4.5,1.499995273487477,3.0000047265125227,0.05,0.05,0.0
3,True,33.90842241135775,77.838115410908,0.2,0.30000292081579577,0.10000292081579576,4.5,1.4999954826040665,3.0000045173959338,0.05,0.05,0.0
4,True,33.74819425528655,77.5176590987656,0.2,0.3000000299238846,0.10000002992388457,4.5,1.5000001647739294,2.9999998352260704,0.05,0.05,0.0
0,True,119.90475856925482,249.83078772670217,0.4,0.20000581493424316,0.19999418506575686,0.5,0.6999955835942456,0.19999558359424563,0.05,0.05,0.0
1,True,122.79976076083514,255.6207921098628,0.4,0.19999452137088952,0.2000054786291105,0.5,0.699977977651742,0.19997797765174197,0.05,0.05,0.0
2,True,104.91846067955261,219.85819194729774,0.4,0.19999982703001012,0.2000001729699899,0.5,0.7000039145839815,0.20000391458398148,0.05,0.05,0.0
3,True,122.16953991937557,254.36035042694365,0.4,0.20000012323183985,0.19999987676816017,0.5,0.7000018210502558,0.20000182105025577,0.05,0.05,0.0
4,True,130.37777776134598,270.7768261108845,0.4,0.1999946871184404,0.20000531288155962,0.5,0.6999832224792853,0.19998322247928535,0.05,0.05,0.0
0,True,32.52663062964378,75.07453184748007,0.4,0.2999973575407385,0.10000264245926155,2.0,1.5000318917497082,0.4999681082502918,0.05,0.05,0.0
1,True,34.062984241670414,78.14723907153333,0.4,0.3000005297497012,0.09999947025029882,2.0,1.500002687136148,0.49999731286385196,0.05,0.05,0.0
2,False,35.815756349015246,81.652783286223,0.4,0.3,0.10000000000000003,2.0,1.5,0.5,0.05,0.05,0.0
3,True,34.54451178728398,79.11029416276047,0.4,0.4999998492822076,0.09999984928220756,2.0,3.5000007854252293,1.5000007854252293,0.05,0.05,0.0
4,True,33.05687953909452,76.13502966638154,0.4,0.49999999996212335,0.09999999996212333,2.0,3.500000000115949,1.500000000115949,0.05,0.05,0.0
0,True,3.361372058225126,16.744014704642762,0.4,0.5000000024886324,0.10000000248863239,4.5,3.4999999202777037,1.0000000797222963,0.05,0.05,0.0
1,True,5.19899971116118,20.41927001051487,0.4,0.49999999136934775,0.09999999136934773,4.5,3.4999999401138413,1.0000000598861587,0.05,0.05,0.0
2,True,4.77099402819431,19.563258644581133,0.4,0.500000509000762,0.10000050900076196,4.5,3.4999964445455864,1.0000035554544136,0.05,0.05,0.0
3,True,3.853838845401164,17.72894827899484,0.4,0.49999942872040537,0.09999942872040535,4.5,3.499996036019139,1.0000039639808609,0.05,0.05,0.0
4,True,4.40135589529851,18.82398237878953,0.4,0.499999475070973,0.09999947507097295,4.5,3.499999193300896,1.000000806699104,0.05,0.05,0.0
0,True,163.91432106209334,337.8499127123792,0.6,0.19999615403145354,0.40000384596854643,0.5,0.6999991411179056,0.19999914111790562,0.05,0.05,0.0
1,True,174.19312434889406,358.40751928598064,0.6,0.20000004254407766,0.3999999574559223,0.5,0.7000002315690316,0.20000023156903157,0.05,0.05,0.0
2,True,183.71484440204827,377.45095939228906,0.6,0.19999980381630103,0.400000196183699,0.5,0.6999999088817644,0.19999990888176444,0.05,0.05,0.0
3,True,196.329679312236,402.68062921266454,0.6,0.19999744623088694,0.40000255376911303,0.5,0.6999919354659587,0.19999193546595873,0.05,0.05,0.0
4,True,175.43517174642298,360.8916140810385,0.6,0.20000067866640367,0.3999993213335963,0.5,0.7000036423070637,0.2000036423070637,0.05,0.05,0.0
0,False,20.169872133074076,50.36101485434067,0.6,0.5,0.09999999999999998,2.0,3.5,1.5,0.05,0.05,0.0
1,True,20.62491264746533,51.27109588312317,0.6,0.5000021082153836,0.09999789178461638,2.0,3.5000018195720606,1.5000018195720606,0.05,0.05,0.0
2,True,18.22215764652369,46.46558588123989,0.6,0.5000004734627524,0.09999952653724753,2.0,3.500001427189156,1.5000014271891562,0.05,0.05,0.0
3,True,15.86515451964907,41.751579627490656,0.6,0.5000030452501029,0.09999695474989712,2.0,3.500007020185353,1.500007020185353,0.05,0.05,0.0
4,True,18.525628792483783,47.07252817316008,0.6,0.4999999974686419,0.1000000025313581,2.0,3.5000000077490556,1.5000000077490556,0.05,0.05,0.0
0,True,14.053336133299656,38.127942854791826,0.6,0.5000065437569442,0.09999345624305578,4.5,3.500020032279421,0.999979967720579,0.05,0.05,0.0
1,True,12.886608981448413,35.79448855108934,0.6,0.5000100953540925,0.09998990464590751,4.5,3.5000308975130303,0.9999691024869697,0.05,0.05,0.0
2,True,10.759354090464594,31.5399787691217,0.6,0.5000001615176497,0.09999983848235028,4.5,3.500000494441785,0.9999995055582152,0.05,0.05,0.0
3,True,10.047024673556953,30.115319935306417,0.6,0.500000722771496,0.09999927722850399,4.5,3.5000022364667873,0.9999977635332127,0.05,0.05,0.0
4,False,8.857319636530944,27.7359098612544,0.6,0.5000000144340921,0.09999998556590783,4.5,3.500000044185996,0.9999999558140038,0.05,0.05,0.0
